"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x728236310","x1072565445218193408","2018-12-11 18:55:04+00","VIZ_Berlin","Nach einem ziemlich ""heftigen"" Tag ist nun auf den #Stadtautobahnen und #Hauptnetzstraßen Berlins der Stress vorbei. Da ist es auch für uns in der VIZ Zeit in den #Feierabend zu gehen. Euch allen wünschen wir einen erholsamen Abend!","Hootsuite Inc.","f","berlin","traffic"
"x871704365186375680","x1072565407448473600","2018-12-11 18:54:55+00","VbbInfo","#122 U Kurt-Schumacher-Platz hat 13 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 19:54 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072565409872838656","2018-12-11 18:54:55+00","VbbInfo","#S9 S Flughafen Berlin-Schönefeld hat 5 Minuten Verspätung https://t.co/0mGQQojs3z @SBahnBerlin 19:54 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072564646052331520","2018-12-11 18:51:53+00","VbbInfo","#S7 S Ahrensfelde hat 5 Minuten Verspätung https://t.co/0mGQQojs3z @SBahnBerlin 19:51 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072564643980304384","2018-12-11 18:51:53+00","VbbInfo","#625 Teltow Postviertel hat 24 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 19:51 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072564301167280128","2018-12-11 18:50:31+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Klettenbergpark 19:57h - (H) Barbarossaplatz 20:09h - (H) Neumarkt 20:12h - (H) Dom/Hbf 20:16h - (H) Ebertplatz 20:19h - (H) Reichenspergerpl. 20:20h - (H) Wiener Platz 20:27h - (H) Herler Str. 20:30h - (H)... https://t.co/EwWLbkJKM7","MOFIS Tweets","f","koeln","train"
"x1341592290","x1072563314092376064","2018-12-11 18:46:35+00","streckenagent_M","#S7 #Kreuzstrasse: Störung behoben #mvv #sbahn https://t.co/47uWCYXMFZ","optivo broadmail","f","muenchen","train"
"x980086351","x1072563046365704192","2018-12-11 18:45:32+00","KVB_Info","Linie 160 * Folgende Fahrt entfällt * (H) Porz Markt 19:51h - (H) Bf Porz 19:53h - (H) Eil Kirche 20:01h - (H) Kaserne Nordtor 20:12h - (H) Wahn S 20:24h - (H) Linder Mauspfad 20:35h * https://t.co/ZT4TiRMu7C","MOFIS Tweets","f","koeln","train"
"x980086351","x1072562291030323200","2018-12-11 18:42:32+00","KVB_Info","Linie 120 * Folgende Fahrt entfällt * (H) Further Str. 19:40h - (H) Worringen S 19:43h - (H) Hackhauser Weg 19:46h - (H) Chorweiler 20:06h - (H) Blumenberg S-Bahn 20:12h * https://t.co/t95RTOMr5B","MOFIS Tweets","f","koeln","train"
"x980086351","x1072561785650204672","2018-12-11 18:40:31+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Klettenbergpark 19:47h - (H) Barbarossaplatz 19:59h - (H) Neumarkt 20:02h - (H) Dom/Hbf 20:06h - (H) Ebertplatz 20:09h - (H) Reichenspergerpl. 20:10h - (H) Wiener Platz 20:17h - (H) Herler Str. 20:20h - (H)... https://t.co/jGgeEhOYva","MOFIS Tweets","f","koeln","train"
"x980086351","x1072561284095336448","2018-12-11 18:38:32+00","KVB_Info","Linie 160 * Folgende Fahrt entfällt * (H) Linder Mauspfad 19:05h - (H) Wahn S 19:15h - (H) Kaserne Nordtor 19:23h - (H) Eil Kirche 19:33h - (H) Bf Porz 19:42 - (H) Porz Markt 19:45h * https://t.co/uD51LB7cby","MOFIS Tweets","f","koeln","train"
