"latitude","longtitude","Downloadrate"
52.22,13.23,6940
52.22,13.23,6940
51.31,13.23,7109
51.31,13.23,7109
51.31,13.23,7109
51.31,13.23,7109
51.31,13.23,7525
51.31,13.23,7525
51.31,13.23,7525
51.31,13.23,7525
51.31,13.23,7854
51.31,13.23,7854
51.31,13.23,7854
51.31,13.23,7854
52.53,13.23,8231
52.53,13.23,8231
52.53,13.23,8231
52.53,13.23,8231
52.53,13.23,8231
52.53,13.23,8231
52.53,13.23,8269
52.53,13.23,8269
52.53,13.23,8269
52.53,13.23,8269
52.53,13.23,8269
52.53,13.23,8269
51.31,13.23,8439
51.31,13.23,8439
51.31,13.23,8439
51.31,13.23,8439
52.53,13.23,8574
52.53,13.23,8574
52.53,13.23,8574
52.53,13.23,8574
52.53,13.23,8574
52.53,13.23,8574
52.53,13.23,9791
52.53,13.23,9791
52.53,13.23,9791
52.53,13.23,9791
52.53,13.23,9791
52.53,13.23,9791
52.53,13.23,10179
52.53,13.23,10179
52.53,13.23,10179
52.53,13.23,10179
52.53,13.23,10179
52.53,13.23,10179
52.53,13.23,10378
52.53,13.23,10378
52.53,13.23,10378
52.53,13.23,10378
52.53,13.23,10378
52.53,13.23,10378
52.22,13.23,11271
52.22,13.23,11271
52.22,13.23,11271
52.22,13.23,11271
52.22,13.23,11271
52.22,13.23,11271
52.21,13.23,11551
52.21,13.23,11551
52.21,13.23,11551
52.21,13.23,11551
52.21,13.23,11551
52.21,13.23,11551
52.53,13.23,11685
52.53,13.23,11685
52.53,13.23,11685
52.53,13.23,11685
52.53,13.23,11685
52.53,13.23,11685
52.53,13.23,11732
52.53,13.23,11732
52.53,13.23,11732
52.53,13.23,11732
52.53,13.23,11732
52.53,13.23,11732
52.22,13.23,12342
52.22,13.23,12342
52.22,13.23,12342
52.22,13.23,12342
52.22,13.23,12342
52.22,13.23,12342
52.22,13.23,12543
52.22,13.23,12543
52.22,13.23,12543
52.22,13.23,12543
52.22,13.23,12543
52.22,13.23,12543
52.53,13.23,12827
52.53,13.23,12827
52.53,13.23,12827
52.53,13.23,12827
52.53,13.23,12827
52.53,13.23,12827
52.53,13.23,12839
52.53,13.23,12839
52.53,13.23,12839
52.53,13.23,12839
52.53,13.23,12839
52.53,13.23,12839
52.22,13.23,13138
52.22,13.23,13138
52.22,13.23,13138
52.22,13.23,13138
52.22,13.23,13138
52.22,13.23,13138
52.22,13.23,14170
52.22,13.23,14170
52.22,13.23,14170
52.22,13.23,14170
52.22,13.23,14170
52.22,13.23,14170
52.21,13.23,16296
52.21,13.23,16296
52.21,13.23,16296
52.21,13.23,16296
52.21,13.23,16296
52.21,13.23,16296
52.21,13.23,17245
52.21,13.23,17245
52.21,13.23,17245
52.21,13.23,17245
52.21,13.23,17245
52.21,13.23,17245
52.21,13.23,17338
52.21,13.23,17338
52.21,13.23,17338
52.21,13.23,17338
52.21,13.23,17338
52.21,13.23,17338
52.22,13.23,19238
52.22,13.23,19238
52.22,13.23,19238
52.22,13.23,19238
52.22,13.23,19238
52.22,13.23,19238
52.22,13.23,19629
52.22,13.23,19629
52.22,13.23,19629
52.22,13.23,19629
52.22,13.23,19629
52.22,13.23,19629
52.21,13.23,20657
52.21,13.23,20657
52.21,13.23,20657
52.21,13.23,20657
52.21,13.23,20657
52.21,13.23,20657
52.53,13.23,4145
52.53,13.23,4145
52.53,13.23,4145
52.53,13.23,4145
52.53,13.23,4145
52.53,13.23,4145
52.53,13.23,4662
52.53,13.23,4662
52.53,13.23,4662
52.53,13.23,4662
52.53,13.23,4662
52.53,13.23,4662
52.53,13.23,5090
52.53,13.23,5090
52.53,13.23,5090
52.53,13.23,5090
52.53,13.23,5090
52.53,13.23,5090
52.53,13.23,5803
52.53,13.23,5803
52.53,13.23,5803
52.53,13.23,5803
52.53,13.23,5803
52.53,13.23,5803
52.53,13.23,6683
52.53,13.23,6683
52.53,13.23,6683
52.53,13.23,6683
52.53,13.23,6683
52.53,13.23,6683
52.53,13.23,7174
52.53,13.23,7174
52.53,13.23,7174
52.53,13.23,7174
52.53,13.23,7174
52.53,13.23,7174
52.53,13.23,15383
52.53,13.23,15383
52.53,13.23,15383
52.53,13.23,15383
52.53,13.23,15383
52.53,13.23,15383
52.53,13.23,16342
52.53,13.23,16342
52.53,13.23,16342
52.53,13.23,16342
52.53,13.23,16342
52.53,13.23,16342
52.53,13.23,19750
52.53,13.23,19750
52.53,13.23,19750
52.53,13.23,19750
52.53,13.23,19750
52.53,13.23,19750
52.53,13.23,19967
52.53,13.23,19967
52.53,13.23,19967
52.53,13.23,19967
52.53,13.23,19967
52.53,13.23,19967
54.35,13.23,3167
54.35,13.23,3167
54.35,13.23,3167
54.35,13.23,3167
54.35,13.23,3167
54.35,13.23,3772
54.35,13.23,3772
54.35,13.23,3772
54.35,13.23,3772
54.35,13.23,3772
54.35,13.23,3936
54.35,13.23,3936
54.35,13.23,3936
54.35,13.23,3936
54.35,13.23,3936
54.35,13.23,4223
54.35,13.23,4223
54.35,13.23,4223
54.35,13.23,4223
54.35,13.23,4223
54.35,13.23,4712
54.35,13.23,4712
54.35,13.23,4712
54.35,13.23,4712
54.35,13.23,4712
54.19,13.23,6979
54.19,13.23,6979
54.19,13.23,6979
54.19,13.23,6979
54.19,13.23,6979
54.18,13.23,7147
54.18,13.23,7147
54.18,13.23,7147
54.18,13.23,7147
54.18,13.23,7147
54.18,13.23,7708
54.18,13.23,7708
54.18,13.23,7708
54.18,13.23,7708
54.18,13.23,7708
54.18,13.23,8583
54.18,13.23,8583
54.18,13.23,8583
54.18,13.23,8583
54.18,13.23,8583
54.18,13.23,8699
54.18,13.23,8699
54.18,13.23,8699
54.18,13.23,8699
54.18,13.23,8699
52.21,13.23,9482
52.21,13.23,9482
52.21,13.23,9482
52.21,13.23,9482
52.21,13.23,9482
54.18,13.23,9808
54.18,13.23,9808
54.18,13.23,9808
54.18,13.23,9808
54.18,13.23,9808
54.19,13.23,9822
54.19,13.23,9822
54.19,13.23,9822
54.19,13.23,9822
54.19,13.23,9822
52.22,13.23,10804
52.22,13.23,10804
52.22,13.23,10804
52.22,13.23,10804
52.22,13.23,10804
52.21,13.23,13128
52.21,13.23,13128
52.21,13.23,13128
52.21,13.23,13128
52.21,13.23,13128
