"";"sensor_id";"sensor_type";"location";"lat";"lon";"timestamp";"P1";"P2";"P0"
"104";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:43:05;"6.00";"5.25";"4.00"
"105";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:48:08;"5.25";"5.25";"3.25"
"106";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:53:12;"5.25";"5.00";"3.00"
"107";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:58:25;"5.40";"4.40";"2.80"
"108";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:03:28;"5.40";"4.40";"2.80"
"109";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:08:32;"5.75";"5.50";"3.00"
"110";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:13:36;"6.00";"4.80";"2.60"
"111";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:18:39;"4.00";"4.00";"2.50"
"112";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:23:43;"3.75";"3.75";"2.75"
"113";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:28:46;"5.60";"5.00";"3.00"
"114";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:33:50;"7.80";"5.60";"3.60"
"115";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:38:53;"5.50";"5.50";"3.50"
"116";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:43:57;"6.00";"5.60";"3.60"
"117";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:49:00;"6.20";"6.20";"4.00"
"118";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:54:04;"4.60";"4.60";"2.80"
"119";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 09:59:07;"6.25";"5.00";"3.75"
"120";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:04:11;"4.00";"3.40";"2.20"
"121";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:09:14;"7.00";"5.50";"3.25"
"122";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:14:18;"24.40";"22.40";"16.80"
"123";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:19:21;"25.00";"24.25";"16.50"
"124";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:24:25;"23.60";"22.20";"15.40"
"125";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:29:28;"28.25";"23.25";"16.00"
"126";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:34:32;"26.00";"22.80";"15.40"
"127";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:39:35;"18.25";"16.75";"12.25"
"128";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:44:39;"15.40";"13.80";"8.80"
"129";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:49:42;"11.50";"11.25";"7.00"
"130";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:54:46;"11.00";"8.80";"6.00"
"131";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 10:59:49;"9.75";"8.75";"6.25"
"132";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:04:53;"11.50";"10.25";"6.75"
"133";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:09:56;"11.25";"9.75";"7.00"
"134";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:15:00;"11.60";"9.00";"6.80"
"135";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:20:03;"10.40";"8.20";"6.00"
"136";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:25:07;"8.80";"8.00";"6.00"
"137";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:30:10;"7.80";"7.80";"5.40"
"138";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:35:14;"7.40";"6.80";"4.80"
"139";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:40:17;"9.20";"7.80";"6.60"
"140";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:45:21;"7.60";"7.60";"6.20"
"141";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:50:24;"9.50";"8.00";"6.50"
"142";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 11:55:28;"8.20";"7.20";"5.20"
"143";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:00:31;"7.25";"6.75";"4.50"
"144";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:05:34;"8.20";"7.60";"5.00"
"145";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:10:38;"7.00";"7.00";"6.00"
"146";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:15:41;"6.00";"6.00";"4.20"
"147";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:20:45;"8.00";"8.00";"6.00"
"148";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:25:48;"7.00";"6.50";"4.50"
"149";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:30:52;"6.80";"6.40";"4.80"
"150";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:35:55;"7.00";"6.75";"4.25"
"151";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:40:58;"8.20";"6.80";"5.20"
"152";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:46:02;"5.80";"5.80";"4.40"
"153";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:51:05;"6.80";"6.80";"4.60"
"154";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 12:56:09;"5.50";"4.75";"3.00"
"155";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:01:12;"6.80";"5.00";"3.20"
"156";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:06:16;"6.60";"6.60";"4.00"
"157";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:11:19;"5.00";"5.00";"4.50"
"158";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:16:23;"7.20";"7.00";"4.00"
"159";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:21:26;"6.75";"6.50";"5.00"
"160";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:26:30;"5.80";"5.80";"3.60"
"161";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:31:33;"5.50";"5.50";"3.75"
"162";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:36:37;"6.60";"6.60";"4.60"
"163";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:41:40;"5.00";"5.00";"4.00"
"164";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 13:46:44;"6.00";"6.00";"3.80"
